iter	Passed	Remaining
0	0	44
1	0	38
2	1	36
3	1	32
4	1	31
5	1	30
6	2	29
7	2	28
8	2	28
9	3	27
10	3	27
11	3	27
12	4	26
13	4	26
14	4	26
15	4	25
16	5	25
17	5	25
18	5	24
19	6	24
20	6	24
21	6	24
22	7	23
23	7	23
24	7	23
25	8	22
26	8	22
27	8	22
28	8	21
29	9	21
30	9	21
31	9	21
32	10	20
33	10	20
34	10	20
35	11	19
36	11	19
37	11	19
38	12	18
39	12	18
40	12	18
41	12	17
42	13	17
43	13	17
44	13	16
45	14	16
46	14	16
47	14	15
48	15	15
49	15	15
50	15	15
51	16	14
52	16	14
53	16	14
54	16	13
55	17	13
56	17	13
57	17	13
58	18	12
59	18	12
60	19	12
61	19	11
62	19	11
63	19	11
64	20	10
65	20	10
66	21	10
67	21	10
68	21	9
69	21	9
70	22	9
71	22	8
72	22	8
73	23	8
74	23	7
75	23	7
76	24	7
77	24	6
78	25	6
79	25	6
80	25	6
81	26	5
82	26	5
83	26	5
84	27	4
85	27	4
86	27	4
87	28	3
88	28	3
89	28	3
90	29	2
91	29	2
92	29	2
93	30	1
94	30	1
95	30	1
96	31	0
97	31	0
98	31	0
99	32	0
